respondent_id,S_S1_vs_S2,S_S1_vs_S3,S_S1_vs_S4,S_S1_vs_S5,S_S2_vs_S3,S_S2_vs_S4,S_S2_vs_S5,S_S3_vs_S4,S_S3_vs_S5,S_S4_vs_S5,W_W1_vs_W2,W_W1_vs_W3,W_W1_vs_W4,W_W1_vs_W5,W_W2_vs_W3,W_W2_vs_W4,W_W2_vs_W5,W_W3_vs_W4,W_W3_vs_W5,W_W4_vs_W5,O_O1_vs_O2,O_O1_vs_O3,O_O1_vs_O4,O_O1_vs_O5,O_O2_vs_O3,O_O2_vs_O4,O_O2_vs_O5,O_O3_vs_O4,O_O3_vs_O5,O_O4_vs_O5,T_T1_vs_T2,T_T1_vs_T3,T_T1_vs_T4,T_T1_vs_T5,T_T2_vs_T3,T_T2_vs_T4,T_T2_vs_T5,T_T3_vs_T4,T_T3_vs_T5,T_T4_vs_T5
1,5,6,3,1,3,2,6,6,5,5,1,7,6,9,6,6,5,3,6,6,4,2,9,4,4,7,7,5,4,4,4,6,3,5,8,4,7,7,5,3
2,5,2,5,7,8,3,5,8,4,7,1,5,5,8,3,2,8,8,3,9,4,4,7,8,6,2,5,6,7,4,5,7,4,6,5,6,3,5,7,6
3,5,4,7,3,5,5,2,4,6,4,4,6,7,4,3,6,8,5,6,3,5,8,7,9,7,3,6,5,6,3,5,7,8,2,8,7,4,4,4,3
4,8,7,6,7,6,4,3,8,4,5,4,8,3,3,5,8,8,3,5,3,8,4,6,5,6,8,3,4,6,5,4,8,5,5,3,1,5,2,5,5
5,5,7,1,6,6,6,5,9,6,5,4,3,7,7,5,8,6,6,6,8,8,8,1,7,9,2,3,2,4,7,5,6,4,6,8,6,4,4,3,7
6,5,7,3,1,8,8,5,2,5,5,5,7,8,4,6,9,7,7,8,5,2,7,7,4,3,7,4,3,2,3,6,8,1,4,8,5,6,5,4,6
7,6,5,5,5,6,5,8,6,7,3,1,2,7,4,5,5,3,6,4,6,3,8,4,4,5,3,6,5,8,4,4,4,6,2,3,4,4,1,2,6
8,3,4,3,4,6,3,7,2,6,6,5,4,5,2,6,7,1,7,9,7,2,3,3,5,7,5,2,7,5,2,6,5,5,4,4,3,5,7,2,7
9,2,5,2,8,7,8,3,1,4,7,8,3,6,2,3,3,5,3,5,6,7,1,6,2,2,5,3,4,3,5,3,7,2,6,3,5,6,8,4,4
10,6,9,8,2,5,4,8,3,9,4,5,5,1,4,6,6,3,5,6,5,2,6,4,5,6,5,6,9,4,2,4,5,5,9,5,3,4,9,5,6
11,6,4,6,4,7,5,2,5,3,7,5,3,4,4,6,9,4,6,7,8,2,5,3,2,6,7,6,5,9,4,4,7,4,8,2,5,6,5,4,5
12,5,1,2,5,6,5,5,9,4,5,5,6,6,5,6,7,5,3,6,5,8,5,7,5,3,5,5,4,1,6,9,8,6,5,5,7,4,7,5,5
13,4,5,8,5,2,2,5,3,4,8,5,6,1,7,4,8,3,7,6,7,4,4,5,3,7,6,6,7,8,7,4,6,3,4,5,5,4,5,4,3
